ID,Plot,Species,Rep,Water,Nitrogen,LMA,Flower,Chl,Area,Seed,LeafN,Photo,WUE
G01RXX,1,AVBA,3,X,X,50.15772871,53,34.7,1120,7.33,0.8,11.26162791,4.312487107
G04LXX,4,AVBA,1,X,X,81.61530287,46,30,1165.5,6.4,0.71,10.70435716,10.04765823
G08LXX,8,AVBA,1,X,X,69.48529412,56,23.3,689,3.22,1,12.00411478,3.478751612
G08LXX,8,AVBA,4,X,X,88.36996337,59,33,1423.5,4.9,0.91,8.524548452,6.961898658
G12RXX,12,AVBA,1,X,X,80.8753568,53,34.9,1406,6.55,0.76,14.86264549,5.002666031
G12RXX,12,AVBA,3,X,X,62.25895317,56,26.2,676,4.99,1.1,6.372529668,4.662675889
G18RXX,18,AVBA,1,X,X,97.74011299,51,28.3,1254,7.18,0.9,26.66492278,10.98876788
G18RXX,18,AVBA,3,X,X,73.63861386,50,31.7,1207.5,5.22,0.76,12.18098554,5.081568198
G19LXX,19,AVBA,1,X,X,96.00840336,55,35.8,700,3.57,0.71,,
G19LXX,19,AVBA,2,X,X,64.64208243,67,31.7,446.5,1.97,1.31,,
G03LRX,3,AVBA,2,R,X,67.23700887,60,33.3,948.75,5.48,1.32,,
G03LRX,3,AVBA,4,R,X,99.49928469,74,30.2,1038.5,4.09,1.31,,
G05RRX,5,AVBA,2,R,X,69.94342291,66,31.7,1080,2.83,1.51,,
G05RRX,5,AVBA,3,R,X,72.6202159,71,33.8,1178,3.53,1.44,15.85363179,5.555678231
G05RRX,5,AVBA,4,R,X,73.27272727,58,34.6,598,3,1.59,,
G07LRX,7,AVBA,2,R,X,69.58942241,45,32.4,976.5,5.26,1.16,18.21146447,10.37992711
G07LRX,7,AVBA,4,R,X,72.1680877,53,36.9,1007.5,4.56,1.21,13.3832524,4.55571449
G11RRX,11,AVBA,1,R,X,93,67,40,1806.25,5.77,1.48,22.77797929,6.770043201
G11RRX,11,AVBA,5,R,X,62.34281932,50,37.9,1540,8.02,1.68,12.91087901,5.790407277
G14RRX,14,AVBA,3,R,X,85.65400844,58,39,1365,4.32,1.68,13.33728487,5.936279797
G14RRX,14,AVBA,4,R,X,88.66432337,59,38.1,1138.5,3.72,1.14,,
G15RRX,15,AVBA,1,R,X,58.34920635,59,40.4,732,5.45,1.86,,
G20LRX,20,AVBA,1,R,X,65,50,28.9,1462.5,6.3,1.03,12.74325889,8.690862903
G02LAX,2,AVBA,4,A,X,59.57446809,55,30.1,1038.5,1.74,1.82,9.968053069,7.634089056
G06RAX,6,AVBA,3,A,X,55.1645857,71,38.9,297.5,3.74,2.97,,
G09LAX,9,AVBA,2,A,X,72.92271935,63,29.7,958.75,3.77,1.26,14.0225808,6.226715143
G10LAX,10,AVBA,4,A,X,83.36856942,61,35.4,880,1.95,1.63,9.618879878,7.304212407
G13LAX,13,AVBA,2,A,X,74.53838678,65,30.7,575.75,3.85,1.33,5.289999834,4.733001346
G13LAX,13,AVBA,3,A,X,70.79207921,52,25.7,1558,,1.73,14.19921104,5.991212783
G17RAX,17,AVBA,3,A,X,61.2565445,109,30.1,688.5,2.07,0.92,16.03915953,4.244826979
G23LAX,23,AVBA,4,A,X,60.69148936,104,31.3,912,3.07,1.35,,
G24RAX,24,AVBA,2,A,X,88.19444444,107,33.3,944,1.98,1.74,5.269584397,4.385799814
G24RAX,24,AVBA,3,A,X,74.0562249,76,31.2,840,1.08,1.23,12.84575132,5.831763953
G04RXN,4,AVBA,2,X,N,79.3956044,60,35,729,4.68,1.52,,
G08RXN,8,AVBA,1,X,N,95.80645161,69,30.6,913.5,1.82,1.23,10.22057709,7.644687822
G12LXN,12,AVBA,3,X,N,66.31689402,67,29.6,1080,3.19,1.18,10.98424358,4.978898082
G12LXN,12,AVBA,4,X,N,41.99134199,104,29,360,0.84,3.4,,
G16LXN,16,AVBA,2,X,N,80.97768332,61,38.1,1184,3.43,1.3,9.489266915,6.22073925
G16LXN,16,AVBA,4,X,N,61.8336887,70,34,636,4.17,1.29,6.753104982,4.321535092
G18LXN,18,AVBA,3,X,N,41.69148303,104,27.5,130,0.39,3.72,,
G18LXN,18,AVBA,4,X,N,75.76576577,44,29.5,1368.75,3.94,,20.39599612,6.657274094
G19RXN,19,AVBA,1,X,N,77.9232928,52,34.2,1242.5,1.99,0.88,8.247036122,6.916917721
G19RXN,19,AVBA,2,X,N,84.3331392,64,33.7,812,2.79,1.21,13.01959569,7.295830109
G22RXN,22,AVBA,1,X,N,72.13114754,49,35.1,1235,3.79,1.22,8.739478698,6.012255522
G03RRN,3,AVBA,1,R,N,90.44368601,66,31.4,540.5,3.34,1.16,,
G03RRN,3,AVBA,2,R,N,65.39923954,53,38.5,1260,5.02,1.31,12.20158409,5.78221682
G07RRN,7,AVBA,2,R,N,80.48780488,48,40.4,990,8.71,1.55,13.44806289,3.758598328
G07RRN,7,AVBA,3,R,N,67.02290076,68,30.3,782,3.13,1,13.28205449,4.932660092
G07RRN,7,AVBA,4,R,N,81.52808989,60,33.2,637,2.53,0.92,,
G07RRN,7,AVBA,5,R,N,76.55502392,49,34,940.5,1.8,0.76,9.679659627,4.510051477
G11LRN,11,AVBA,1,R,N,72.37491191,49,31.4,1131.5,4.62,1.275,12.16225964,10.82738135
G11LRN,11,AVBA,2,R,N,63.17880795,61,31.9,1239.5,3.58,1.26,,
G11LRN,11,AVBA,3,R,N,62.2983871,51,36.4,1577,7.24,,21.42575879,10.49381851
G11LRN,11,AVBA,4,R,N,85.79088472,65,36.1,649.25,4.06,1.11,,
G14LRN,14,AVBA,2,R,N,67.32876712,45,35.2,1143.75,5.36,1.81,9.953859495,7.526886963
G14LRN,14,AVBA,3,R,N,92.59259259,47,32.1,1117.8,4.77,0.78,16.53503337,5.405965988
G20RRN,20,AVBA,1,R,N,82.26950355,55,34.3,1026,3.57,0.93,,
G02RAN,2,AVBA,4,A,N,82.31827112,54,34.4,662.5,2.6,2.09,9.184609044,6.202553119
G06LAN,6,AVBA,4,A,N,83.28877005,61,30.2,825,4.96,1.03,9.985371636,8.889419388
G09RAN,9,AVBA,1,A,N,,66,33.5,1207.5,5.54,,12.64055082,9.757465818
G09RAN,9,AVBA,3,A,N,90.54421769,107,29,840,1.6,1.02,5.344238037,5.069361516
G10RAN,10,AVBA,1,A,N,72.45657568,61,33.8,798,2.86,1.22,,
G13RAN,13,AVBA,4,A,N,64.45060018,112,33.7,787.5,0.82,1.27,9.814556542,9.291258284
G17LAN,17,AVBA,4,A,N,81.05043271,58,33.2,742,2.8,1.04,16.51596971,7.126090764
G23RAN,23,AVBA,5,A,N,76.74104124,55,38,841,3.37,1.32,11.66501294,5.118771096
G24LAN,24,AVBA,2,A,N,64.06779661,76,34.2,497.25,2.58,1.31,9.278783607,5.220517678
G24LAN,24,AVBA,4,A,N,78.4341637,107,35.3,857.5,2.63,1,,
P2,0,BRMA,1,X,X,56.18181818,44,32.7,957,9.83,1.15,21.6376473,5.691854065
P3,0,BRMA,2,X,X,48.43049327,68,27.3,1159,7.01,2.08,8.809215521,4.064841828
P4,0,BRMA,2,X,X,62.03703704,45,38.2,976.5,16.21,1.48,10.81469924,7.02572339
P5,0,BRMA,1,X,X,50.72992701,47,33,976,13.26,1.32,13.9483398,4.091445808
P6,0,BRMA,1,X,X,63.36499322,49,33.8,940.5,14.2,1.28,16.87753256,5.701496987
P7,0,BRMA,1,X,X,54.33070866,44,31.6,1121.25,16.19,1.13,17.08455348,5.858059353
P8,0,BRMA,1,X,X,40.625,99,,472.5,4.63,3.24,9.102480575,4.045662279
P9,0,BRMA,2,X,X,68.54724965,59,39.5,864,9.88,2.27,17.72927793,6.195782241
G03LRX,3,BRMA,1,R,X,52.86624204,45,39.7,1155,19.38,1.54,11.43889056,5.448323919
G07LRX,7,BRMA,1,R,X,60.50670641,44,37.5,1104,13.26,1.25,12.16884321,4.196451392
G07LRX,7,BRMA,4,R,X,56.7990373,46,33,838.75,13.27,1.88,20.73183761,6.16381734
G11RRX,11,BRMA,1,R,X,52.94117647,49,33.7,517.5,4.97,1.92,18.65732847,3.894080489
G14RRX,14,BRMA,1,R,X,59.68634686,55,29.2,1362.75,7.23,1.57,10.68461735,3.831128742
G15RRX,15,BRMA,2,R,X,56.66316894,45,36,1122,11.53,1.65,14.17627821,5.472917125
G15RRX,15,BRMA,5,R,X,62.85211268,44,36.1,1259.25,21.74,1.71,24.64382867,3.845349198
G21LRX,21,BRMA,1,R,X,73.15270936,46,28.6,741,7.8,1.46,14.15307917,3.315017591
G09LAX,9,BRMA,1,A,X,54.47897623,47,37.6,1718.25,15.01,1.78,15.22267256,6.164462071
G10LAX,10,BRMA,1,A,X,55.86652314,77,26.9,1120,6.14,1.46,10.71681448,5.24499843
G10LAX,10,BRMA,2,A,X,63.31775701,72,28.9,945.5,2.65,1.59,11.99620625,5.220522022
G10LAX,10,BRMA,3,A,X,53.68421053,74,35.2,1026,5.61,2.03,15.74400569,8.805533708
G10LAX,10,BRMA,4,A,X,63.21568627,0,28.5,1056.25,8,1.25,14.07200955,6.188502453
G01LXN,1,BRMA,1,X,N,55.11811024,44,30.5,870.25,12.36,1.26,10.31621342,12.26196589
G01LXN,1,BRMA,2,X,N,66.51785714,44,33.7,1204.5,18.87,1.03,9.76003813,6.054483077
G01LXN,1,BRMA,4,X,N,38.27655311,47,33.6,451.5,7.68,1.9,19.17248464,6.779758304
G16LXN,16,BRMA,1,X,N,53.02325581,44,31.7,899.75,18.92,1.38,14.86596743,5.595572495
G18LXN,18,BRMA,1,X,N,47.50733138,69,30.1,935,12.38,1.58,14.30331442,4.753278869
G22RXN,22,BRMA,1,X,N,45.81560284,76,24.2,1082.75,6.69,1.38,6.046425758,4.732802894
G22RXN,22,BRMA,3,X,N,50.59920107,49,30.7,1085,18.11,1.9,26.3424548,6.313091663
G03RRN,3,BRMA,1,R,N,46.09375,44,34.4,756,10.77,1.78,,
G05LRN,5,BRMA,1,R,N,47.88990826,63,29,596.25,5.58,1.44,,
G07RRN,7,BRMA,1,R,N,44.01508011,44,32.5,1207.5,16.34,2.23,14.43472173,4.383161753
G11LRN,11,BRMA,1,R,N,44.02684564,47,32.9,1207,16.96,1.77,11.39816696,5.688252785
G14LRN,14,BRMA,1,R,N,47.92477302,44,37.5,1136,18.61,,15.87953844,3.026649859
G15LRN,15,BRMA,2,R,N,53.1152648,45,32.3,854,12.4,1.79,9.625105313,6.737006842
G20RRN,20,BRMA,1,R,N,46.91501746,47,27.3,924,7.35,1.48,10.71616633,3.0155724
G21RRN,21,BRMA,1,R,N,59.31790499,47,32,784,13.24,1.43,14.86426765,8.953180209
G21RRN,21,BRMA,2,R,N,48.50863422,47,36.9,1276.5,19.05,1.59,10.18442266,2.99351067
G21RRN,21,BRMA,4,R,N,49.62121212,49,40.1,2320.5,29.43,1.94,13.48495437,3.22035038
G24LAN,24,BRMA,1,A,N,57.28952772,72,25.9,796.5,4.69,2.08,19.47520153,8.46749561
G24LAN,24,BRMA,2,A,N,48.83966245,64,32.5,988.25,11.11,2.05,5.686478134,4.02672271
G24LAN,24,BRMA,3,A,N,66.5,58,33.8,1366.75,14.63,1.72,14.85895049,5.815376446
G24LAN,24,BRMA,4,A,N,54.62962963,65,22.1,1242.5,10.96,2.03,6.648246332,4.999621451
